앨범ID,곡명,가사
0,아시나요,"['아시나요 얼마나 사랑했는지', '그댈 보면 자꾸 눈물이 나서', '차마 그대 바라보지 못하고', '외면해야 했던 나였음을', '아시나요 얼마나 기다렸는지', '그대 오가는 그 길목에 숨어', '저만치 가는 뒷모습이라도', '마음껏 보려고 한참을 서성인', '나였음을', '왜 그런 얘기 못했냐고 물으신다면', '가슴이 아파 아무 대답도 못하잖아요', '그저 아무것도 그댄 모른 채', '지금처럼만 기억하면 돼요', '우릴 그리고 나', '아시나요 얼마나 힘겨웠는지', '하고 싶은 말이 너무 많아서', '듣지 못하는 병이라도 들면', '그땐 말해 볼 수 있을까요', '모르셨죠 이렇게 아픈 내 마음', '끝내 모르셔도 난 괜찮아요', '그댈 향한 그리움의 힘으로', '살아왔던 거죠', '그대가 없으면 나도 없죠', '몇 번을 다시 태어나고 다시 떠나도', '그댈 만났던 이 세상만 한 곳은 없겠죠', '여기 이 세상이 아름다운 건', '그대가 머문 흔적들 때문에 아마', '슬픈 오늘이', '같은 하늘 아래 그대와 내가', '함께 서 있는 마지막 날인걸', '그댄 아시나요']"
0,다짐,"['그때 내가 아니야', '네 얼굴만 봐도 눈물짓던', '그런 표정 하지 마', '잔인한 너에게 후회뿐이야', '널 우연히 만나면', '나에 달라진 모습을', '너 보여 주면 혹시 내게', '다시 돌아올까 봐', '하지만 끝난 거야', '네가 나를 잊는데', '도움만 됐을 뿐', '오히려 헤어진 게 잘 됐다고', '안심했을 너야', '그대 날 떠나가 왜 날 버리나', '나 없이 행복했었나', 'why left alone with nothing', 'but a tears mow you and i ah', '너와 나 그대 나에게', '그렇게 냉정해야 했나', 'back in time when you were', 'by my side', '이제 나 그렇게 무너지지 않아', 'no one is going to bring me down', '다짐하고 또 했어', '널 모조리 잊어버리자고', '죽기 직전까지만', '널 그리워하다 끝내자고', '널 우연히 만나면', '나에 달라진 모습을', '너 보여주면 혹시 내게', '다시 돌아올까 봐', '하지만 끝난 거야', '네가 나를 잊는데 도움만 됐을 뿐', '오히려 헤어진 게', '잘 됐다고 안심했을 너야', '난 달라졌어 너 때문에', '더 이상 아파하진 않아', '그때 완 다를 거야', '누가 봐도 강한 내가 됐어']"
0,레테의 강,"['모든 게 희미해질 거라', '그렇게 믿고 싶었는데', '편히 보내려 숨겼던 그대 눈물', '왜 아직도 선명한 건지', '저 하늘 어디쯤 있나요', '더 멀리 간 건 아닌가요', '내가 보이는', '그쯤에 머물러요', '더 멀린 가지 마요', '바람마저', '날 피해 가네요', '어쩌다 그대의', '그 향기라도', '묻어 있을까 봐', '나 자신이 없어요', '이대로는 그리움도', '끝나가요', '이러다 말길 바랬어요', '추억도 지쳐 갈 테니', '그때쯤엔 내 눈물조차', '말라 버리겠지요', '그대도 이런 날', '원하진 않으실 테죠', '나 이렇게는', '더 이상은 버틸 수가 없어요', '내 이런 모습 몰라서', '그런 약속을 하셨나요', '어떻게 그댈 잊고', '다른 사랑을', '이제 여기선 안돼요', '그대가 있는 곳', '찾아서 가려 해요', '쉽게 찾도록', '멀리 가진 마요', '조금 후면', '그대를 보내요', '두렵진 않아요', '오히려 처음 같은 설렘에', '나 욕심은 없어요', '함께하면 상관없는', '삶이라도', '이러다 말길 바랬어요', '추억도 지쳐 갈 테니', '그때쯤엔', '내 눈물조차', '말라 버리겠지요', '그대도 이런 날', '원하진 않으실 테죠', '나 이렇게는', '더 이상은', '버틸 수가 없어요', '내 이런 모습 몰라서', '그런 약속을 하셨나요', '어떻게 그댈 잊고', '다른 사랑을', '이제 여기선 안돼요', '그대가 있는 곳', '찾아서 가려 해요', '쉽게 찾도록', '멀리 가진 마요']"
0,다음 사람에게는,"['그녀가 떠나버렸다', '어디로 간다는 말 한마디 없이', '그리고 그녀는 이렇게 눈물로 썼을', '편지 한 통만을 남겨놓았다', '그러지 마요 다음 사람에게는', '이별의 얘긴 그대가 직접 전해요', '이렇게 친굴 대신 보내', '비참한 눈물 흘리게 하지 마요', '그러지 마요 다음 사람에게는', '그댄 날 함께 있어도 외롭게 했죠', '가끔은 내가 아는 그대 정말 맞는지', '남보다 멀게 느껴졌죠', '그댄 술 취해야만 내가 보고 싶다 했죠', '나는 그게 싫었던 거죠', '내가 한 번이라도 생각난 적 있었나요', '그대가 기쁜 순간에도', '다음 사람에게는 아프게 하지 말아요', '난 비록 이렇게 떠나가지만', '다음 사랑은 행복하기를 빌어요', '그래도 사랑한 그대니까요', '그녀의 글씨 위로 번져 가는 나의 눈물 때문에', '그녀의 편지를 더는 읽어 내려갈 수가 없다', '하지만 하지만 이 글 마지막 어딘가에라도', '그녀가 다시 돌아오겠다는 그 말을 남겨놓았을 것 같아', '나는 여기서 편지를 접을 수가 없다', '내가 힘들 때마다 그댈 기대고 싶어도', '그댄 곁에 없었잖아요', '항상 그댄 주위에 아무도 없을 때에만', '그제야 날 찾았잖아요', '다음 사람에게는 아프게 하지 말아요', '난 비록 이렇게 떠나가지만', '다음 사랑은 행복하기를 빌어요', '그래도 사랑한 그대니까요', '돌아와야 해 다시 내게로', '이대로 너를 보낼 순 없어', '제발 돌아와 줘 다음 사람은 내게는 없어', '내 다음 사랑은 다시 너 일 테니까']"
0,고백,"['날 아껴두었죠 그댈 기다리며', '오랜 기도가 이뤄졌어요', '그대 내게 왔어요', '그댈 위해 날 준비했어요', '그대가 왔을 때', '쉬운 사랑이 되지 않도록', '그대 행복하도록', '내 삶에 한 사람', '그대를 사랑하여도', '모자를 테지요', '이젠 영원할 수밖에 없겠죠', '사랑하는 그대 보이나요', '영원한 우리에 사랑이', '어디도 없었던 사랑할게요', '내 안에 행복하세요', '그대 있음에 다시 살아요', '날 지켜주어요', '그대 있음에 감사드려요', '행복이라 여기며', '영원히 살아도', '내 삶이 모자란 이유는', '내 안에 행복할 그대', '사랑함이 이유이겠죠', '사랑 그 말론 모자라지요', '영원할 우리에 사랑은', '나 부족하지만 받아주세요', '이젠 내 삶에 마지막 그대여', '사랑하는 그대 보이나요', '영원할 우리에 사랑이', '어디도 없었던 사랑할게요', '내 안에 행복하세요', '그대 안에 나 행복할게요']"
0,어린 왕자의 사랑이야기,"['널 처음 봤을 때', '네 향기도 네 모습도', '내게 보이지 않고서', '준비를 했었지', '날 사랑할 준비를', '널 다시 봤을 때', '네 향기에 네 모습에', '반해서 가장 소중한', '네 안의 마음을', '나 몰랐었나 봐', '나어렸었나 봐', '누구보다 여렸던 넌데', '나를 위해 아꼈던 사랑을 두고', '눈물로 왜 떠났을까', '이제 알아 오직 하나뿐인 너', '이 세상에서 하나밖에 없는 너', '소중하게 네가 내게 주었던 시간을', '다시 놓지 않을게', '나 몰랐었나 봐', '너에게 나 길들여 지는 걸', '마음으로 널 보았어야 했는데', '아직도 날 기다릴 너', '이제 알아 오직 하나뿐인 너', '이 세상에서 하나밖에 없는 너', '소중하게 네가 내게 주었던 시간을', '다시 놓지 않을게', '나 지금 돌아갈게']"
0,해와 달,"['난 이제 가는 길이야', '널 또 못 본 채로', '이렇게 내가 떠나야', '올 수 있는 넌데', '언제 언제쯤', '널 만날 수 있니', '늘 숨바꼭질하듯 엇갈리잖아', '아마 세상이 끝나기 전에는', '늘 이러겠지', '소원이 있어', '차라리 내가 지금', '아주 작은 별이라면', '슬픈 이별은', '하지 않아도 될 텐데', '늘 너의 곁에서', '나 다시 오는 길이야', '넌 이미 간 거니', '나 대신 까만 밤하늘', '홀로 잘 지켰니', '너도 나처럼 내 생각 하면서', '나 오기만을 기다리다 갔을까', '슬픈 우리는', '오늘도 이렇게 늘 이별만을', '소원이 있어', '차라리 내가 지금', '아주 작은 별이라면', '슬픈 이별은', '하지 않아도 될 텐데', '늘 너의 곁에서', '매일 꿈을 꿔', '단 하루라도 너와', '함께 하고 싶은 거야', '보고 싶은 맘 모아', '너 오면 보라고', '노을로 남길게', '노을로 남길게']"
0,My Love,"['산책을 하다가도', '넌 묻곤 했었지', '영화를 보다가도', '넌 내게 묻곤 했었지', '그렇게 아무 데서나', '그렇게', '시도 때도 없이', '나에게 물어본 건', '널 사랑하느냐고', '왜 귀찮게 그러냐고', '널 구박도 했지', '무안해 할 만큼', '널 핀잔도', '많이 줬었지', '그래도 너는 끝까지', '그 말을 듣기 전에는', '아이가 되어', '날 괴롭히곤 했었지', '그때는 그렇게도', '나를 귀찮게만 했던', '너의 그런 말들이', '이제는 꿈결 속에', '어떨 땐 바람에 묻어', '날 스쳐가곤 해', '너처럼 아무 데서 라돈', '시도 때도 없이', '혼자 중얼거려봐', '내 곁에 있다면', '들을 수 있을까 봐', '널 사랑한다는 이 말을', '유난이 눈이 컸던', '넌 참 예뻤었지', '오오오오~', '하지만 예쁘다던', '그 말은 하지 못했지', '괜스레 겁이 많다고', '눈물도 많을 거라고', '화날 때까지', '널 놀려대곤 했었지', '그때는 그렇게도', '나를 귀찮게만 했던', '너의 그런 말들이', '이제는 꿈결 속에', '어떨 땐 바람에 묻어', '날 스쳐가곤 해', '너처럼 아무 데서 라돈', '시도 때도 없이', '혼자 중얼거려봐', '언제나 그 말엔', '눈물이 묻어서', '오오오~', '그렇게 가기가 어딨어', '난 아직 할 말이 많은데', '언제까지나', '혼잣말만', '중얼대게 할 거야', '바보야', '이제 난', '예쁘다는 말도', '사랑한단 말도', '소용없는 줄 알아', '하지만', '이 말은', '꼭 해주고 싶었어', '넌 아름다웠었다고']"
0,Promise,"['힘없이 내 앞에 선 널 보며 난 눈물 감추려 했지', '자꾸 애써 웃는 날 안쓰러워 마 걱정하지 마', '야위어 가는 널 품에 안고서', '긴 한숨 달랠 수 있게', '너의 곁을 지킬게 부담 갖지 말아 줘', '또 눈물 흘리니 제발 나를 위해서라면', '네 환한 얼굴 보여줘', '세상이 너를 허락한다면', '하늘 아래서 같은 소원 빌 수 있다면', '언젠가 너 환하게 웃으며 내게 올 수 있겠지', '나 믿을게 너만을', '야위어 가는 널 품에 안고서', '긴 한숨 달랠 수 있게', '너의 곁을 지킬게 부담 갖지 말아 줘', '세상이 너를 허락한다면', '하늘 아래서 같은 소원 빌 수 있다면', '언젠가 너 환하게 웃으며 내게 올 수 있겠지', '믿을게 다음 세상이라도 함께 하도록', '너 혹시 너를 볼 수 없다면', '함께했던 많은 날이 내겐 있기에', '하루씩만 꺼내어 볼 거야', '네게 가는 날까지 조금만 나를 기다려줘', '하루씩만 꺼내어 볼 거야', '네게 가는 날까지 조금만 나를 기다려줘', '그리 오래 걸리진 않을 거야']"
0,마지막 사랑,"['나보다 행복하길', '기도드리던', '아름답던 시간', '두 번 다시 되돌릴 수 없게 되는', '추억 돼버린 걸까', '나보다 더 사랑한', '너와에 꿈만 같던 시간', '또다시 행복하길', '기도드리는', '내 안타까움 알겠니', '힘이 들어', '일어설 수 없을 땐', '내게로 와 처음', '그 자리에서', '계속 서있을게', '두 팔 벌려 있을게', '넌 그대로 와', '내가 다시', '너를 지킬게', '더 슬프지 않도록', '그때는 다', '나에게 주면 돼', '오래 걸려도', '나와 함께 하면 돼', '내 삶에 이유가', '너이니까', '언젠가 돌아오길', '기도드리는', '내 쓸쓸한 맘 알겠니', '언제라도 가던 길이', '아닐 땐 내게로 와', '처음 그 자리에서', '계속 서있을게', '두 팔 벌려 있을게', '넌 그대로 와', '내가 다시 너를 지킬게', '더 슬프지 않도록', '그때는 다', '나에게 주면 돼', '오래 걸려도', '나와 함께 하면 돼', '내 삶에 이유가', '너니까', '그때는 다', '나에게 주면 돼', '오래 걸려도', '나와 마지막 이면 돼', '돌아와 줘', '기다릴게', '내 삶에 이유가', '너뿐이야']"
